Latitude,Longitude,Limiar_Mediana_ms,Limiar_Q90_ms,Limiar_Q95_ms,Limiar_Q99_ms,Limiar_Maximo_ms
-53.0,-29.0,10.234917,14.738516,15.935279,18.267548,21.583033
-53.0,-28.75,10.301071,14.766429,15.9456005,18.29174,22.086231
-53.0,-28.5,10.353384,14.816334,16.005337,18.340096,22.473846
-53.0,-28.25,10.4096775,14.91663,16.086641,18.310755,22.622072
-53.0,-28.0,10.464878,15.004397,16.173244,18.382069,22.067942
-53.0,-27.75,10.531452,15.08078,16.20422,18.40512,21.59204
-53.0,-27.5,10.578466,15.13245,16.27332,18.55399,21.840279
-53.0,-27.25,10.598518,15.145741,16.300451,18.625414,22.377136
-53.0,-27.0,10.626896,15.206644,16.34849,18.639475,22.749332
-53.0,-26.75,10.618169,15.192014,16.311497,18.732786,23.077726
-53.0,-26.5,10.610857,15.236274,16.322094,18.552614,23.377428
-53.0,-26.25,10.632931,15.238357,16.344507,18.73798,24.056658
-53.0,-26.0,10.640152,15.239174,16.378298,18.757448,24.612223
-53.0,-25.75,10.653828,15.240762,16.419336,18.676281,24.979477
-53.0,-25.5,10.682563,15.258675,16.410917,18.734373,24.835484
-53.0,-25.25,10.700376,15.28244,16.434359,18.693014,24.561897
-53.0,-25.0,10.706219,15.316123,16.453337,18.67543,24.183292
-53.0,-24.75,10.737074,15.352841,16.453627,18.786314,23.811108
-53.0,-24.5,10.729272,15.375092,16.45834,18.7772,23.607746
-53.0,-24.25,10.750784,15.3696375,16.505495,18.88371,24.013403
-53.0,-24.0,10.761095,15.361926,16.511457,18.89126,23.434488
-53.0,-23.75,10.7585335,15.375784,16.531443,18.922731,23.322329
-53.0,-23.5,10.778763,15.4266615,16.5636,18.910587,23.312965
-53.0,-23.25,10.799509,15.425648,16.561747,18.978727,23.300076
-53.0,-23.0,10.820448,15.4186535,16.564322,19.051064,23.473164
-53.0,-22.75,10.833244,15.409778,16.615486,19.014055,23.485764
