phase,Az_mean,Az_median,Az_std,Ae_mean,Ae_median,Ae_std,Kz_mean,Kz_median,Kz_std,Ke_mean,Ke_median,Ke_std,Cz_mean,Cz_median,Cz_std,Ca_mean,Ca_median,Ca_std,Ck_mean,Ck_median,Ck_std,Ce_mean,Ce_median,Ce_std,Gz_mean,Gz_median,Gz_std,Ge_mean,Ge_median,Ge_std,n_observacoes,n_ciclones
incipient,658860.5188116916,589423.0052467926,405187.42797173985,161597.5340214126,123501.09928889832,121352.33290229263,2725865.479820307,2584019.8403085326,1375767.618086948,276592.60553042253,233938.90623122887,169424.55542890154,0.8265631367380223,0.6366234519607961,5.81426888052885,0.6540950428734554,0.3128194720229693,1.3621476219678126,-1.8421880265523827,-0.9687612218361776,5.75950923730189,3.595141187069897,2.3210563084325027,4.816338403869644,-0.36540541872578874,-0.3098704592106027,3.924633333657558,0.23549467699298948,0.2163566133839199,4.081768807032412,17291,4587
intensification,617615.5570916116,527059.0037400104,400575.30071795697,192230.88781253435,146995.2945467829,145978.88728435853,3017619.510467685,2759987.1921933647,1618266.0988008403,406574.1855774149,328083.2792126713,281151.10270488914,-0.17307390734278166,-0.0635362882681101,6.0896961124697535,1.3626069331399322,0.7818919468182783,2.0174216842709725,-4.225572118517721,-2.161669174153575,9.299224625030012,5.65469994084606,4.080898950746014,6.421481762690298,-0.48476490675984485,-0.3868575792944795,3.534439686314244,2.3085751230766642,1.336288867944471,3.9572459491684553,75029,6642
mature,437601.6577510373,353137.81914163986,316822.9281453921,163694.75747779652,122721.01158045101,128789.26537687378,2827137.458107549,2504166.2520387103,1616586.89059456,525028.9174880297,432405.2899242166,356916.1348263386,-0.5164146574634843,-0.20113052363450146,5.475167982367539,1.2287710516791144,0.6896966812710966,1.8913393004960941,-6.464787684527707,-3.67913253559626,14.673691671971435,4.417239360208039,2.778772534750016,5.5433474682190855,-0.4427130592929695,-0.25051665021366876,2.689771298506322,1.5372792138243727,0.7588556635147914,3.0124540638700323,21524,4747
decay,452423.9359579013,346313.62366063567,369257.3206472363,118198.15357218888,85512.36991888282,100402.25404208989,2584259.608780521,2290330.3929293943,1558788.0035653983,348919.4702458466,256953.06189090008,291973.1464857682,0.8396758818781457,0.3708536776902518,4.7204499001562,0.613978282718483,0.1980085739531195,1.5329468406934499,-3.7816169149824006,-1.4284092058144835,11.619323527011266,1.6981835192833834,0.734120953625935,3.7397471196255463,-0.199438090226116,-0.1047808859730372,2.5609694510429066,0.49150748850235615,0.034932531050538396,2.3445416980554215,91402,6488
residual,606415.1942942175,484545.15713669156,453368.4573582705,163909.57402926404,118577.01267537894,135055.73305412757,3188822.4499868164,2918751.901632412,1759720.86715997,398501.1990662137,295335.93111613474,348521.3394539654,0.6463806996707147,0.4101461094891371,5.815274733524551,1.1465185655656422,0.5121773155209909,2.0834641471328874,-4.854867421697584,-1.8523240535480365,12.992860828096504,3.306514243762789,1.9520544225722078,4.837328594218223,-0.15942354222793217,-0.0664326875758737,3.334044689296302,1.2753276697802878,0.48998224427485704,3.4319667061839993,5120,563
