track_id,time,phase,east_km,north_km,fwd_km,left_km,wind_speed_ms,exceed_15_6,exceed_20_0,exceed_25_0,exceed_q90,exceed_q95,exceed_q99
20100003,2010-01-03 01:00:00,intensification,-841.4166181283493,702.2717935200005,-1095.9534559404133,7.322543862054886,15.42354965209961,False,False,False,False,False,False
20100003,2010-01-03 02:00:00,intensification,-835.3843772681158,716.4738878000003,-1100.4326838137672,-15.805001654994271,15.003694534301758,False,False,False,False,False,False
20100003,2010-01-03 03:00:00,intensification,-765.4653553880178,261.5398834399996,-762.7722584274547,269.29315383535675,13.926691055297852,False,False,False,False,False,False
20100003,2010-01-03 04:00:00,intensification,-772.6915734020021,330.7487519600001,-823.6588481561317,167.43090032509963,13.20415210723877,False,False,False,False,False,False
20100003,2010-01-03 05:00:00,intensification,48.172254657826784,275.70958360000037,-89.43698694515614,-265.21192653022996,12.641568183898926,False,False,False,False,False,False
20100003,2010-01-03 06:00:00,intensification,2.8247803324458505,295.9357596799996,-117.17049938120397,-271.7664941012124,12.641568183898926,False,False,False,False,False,False
20100003,2010-01-03 07:00:00,intensification,-43.8428009566322,314.40730991999936,-153.97406307372856,-277.60788106143684,12.641568183898926,False,False,False,False,False,False
20100003,2010-01-03 08:00:00,intensification,-95.52474802107402,331.93776088000067,-200.17006436655058,-281.49529288073217,12.641568183898926,False,False,False,False,False,False
20100003,2010-01-03 09:00:00,intensification,286.6925787058666,267.9283155999999,200.4089929344526,-337.36397634642503,13.683309555053711,False,False,False,False,False,False
20100003,2010-01-03 10:00:00,intensification,204.46098322925891,287.3960685199998,149.05501281705023,-319.6613786774009,13.683309555053711,False,False,False,False,False,False
20100003,2010-01-03 11:00:00,intensification,136.29783897030774,294.0996476000002,116.2480988747011,-302.58566247335307,13.683309555053711,False,False,False,False,False,False
20100003,2010-01-03 12:00:00,intensification,62.1530201940325,296.4725447200001,69.37812691438323,-294.86546626867647,13.683309555053711,False,False,False,False,False,False
20100003,2010-01-03 15:00:00,decay,183.39739956509814,436.04377959999965,276.9574729732924,-383.48838582066776,15.08354377746582,False,False,False,True,False,False
20100003,2010-01-03 16:00:00,decay,106.6292679416514,416.2023254400004,215.6894616155529,-371.58072155512775,15.08354377746582,False,False,False,True,False,False
20100003,2010-01-03 17:00:00,decay,24.99050589557547,394.22742347999946,155.7134932986054,-363.03318693108594,15.08354377746582,False,False,False,True,False,False
20100003,2010-01-03 18:00:00,decay,-47.92040468152404,364.67597100000006,101.9393011810153,-353.4024729460168,15.08354377746582,False,False,False,True,False,False
20100003,2010-01-03 19:00:00,decay,-115.38781188336351,336.8263786800005,43.49987072878113,-353.3753213687862,15.08354377746582,False,False,False,True,False,False
20100003,2010-01-03 20:00:00,decay,-179.67311586762185,304.6360856000004,-1.7642918880321474,-353.6699881095432,15.08354377746582,False,False,False,True,False,False
20100003,2010-01-03 21:00:00,decay,27.048291990766806,545.4936035999992,311.38141957005274,-448.7053523356609,14.791879653930664,False,False,False,False,False,False
20100003,2010-01-03 22:00:00,decay,-19.50902202166878,519.4403821199998,300.7521884716687,-423.9658401884699,14.791879653930664,False,False,False,False,False,False
