time,lat_center,lon_center,bearing_motion,fixed_q1_15_6_total,fixed_q1_15_6_exceed,fixed_q1_15_6_pct,fixed_q1_15_6_max_val,fixed_q1_15_6_max_lat,fixed_q1_15_6_max_lon,fixed_q1_15_6_max_dist_km,fixed_q1_20_0_total,fixed_q1_20_0_exceed,fixed_q1_20_0_pct,fixed_q1_20_0_max_val,fixed_q1_20_0_max_lat,fixed_q1_20_0_max_lon,fixed_q1_20_0_max_dist_km,fixed_q1_25_0_total,fixed_q1_25_0_exceed,fixed_q1_25_0_pct,fixed_q1_25_0_max_val,fixed_q1_25_0_max_lat,fixed_q1_25_0_max_lon,fixed_q1_25_0_max_dist_km,fixed_q1_q90_total,fixed_q1_q90_exceed,fixed_q1_q90_pct,fixed_q1_q90_max_val,fixed_q1_q90_max_lat,fixed_q1_q90_max_lon,fixed_q1_q90_max_dist_km,fixed_q1_q95_total,fixed_q1_q95_exceed,fixed_q1_q95_pct,fixed_q1_q95_max_val,fixed_q1_q95_max_lat,fixed_q1_q95_max_lon,fixed_q1_q95_max_dist_km,fixed_q1_q99_total,fixed_q1_q99_exceed,fixed_q1_q99_pct,fixed_q1_q99_max_val,fixed_q1_q99_max_lat,fixed_q1_q99_max_lon,fixed_q1_q99_max_dist_km,fixed_q2_15_6_total,fixed_q2_15_6_exceed,fixed_q2_15_6_pct,fixed_q2_15_6_max_val,fixed_q2_15_6_max_lat,fixed_q2_15_6_max_lon,fixed_q2_15_6_max_dist_km,fixed_q2_20_0_total,fixed_q2_20_0_exceed,fixed_q2_20_0_pct,fixed_q2_20_0_max_val,fixed_q2_20_0_max_lat,fixed_q2_20_0_max_lon,fixed_q2_20_0_max_dist_km,fixed_q2_25_0_total,fixed_q2_25_0_exceed,fixed_q2_25_0_pct,fixed_q2_25_0_max_val,fixed_q2_25_0_max_lat,fixed_q2_25_0_max_lon,fixed_q2_25_0_max_dist_km,fixed_q2_q90_total,fixed_q2_q90_exceed,fixed_q2_q90_pct,fixed_q2_q90_max_val,fixed_q2_q90_max_lat,fixed_q2_q90_max_lon,fixed_q2_q90_max_dist_km,fixed_q2_q95_total,fixed_q2_q95_exceed,fixed_q2_q95_pct,fixed_q2_q95_max_val,fixed_q2_q95_max_lat,fixed_q2_q95_max_lon,fixed_q2_q95_max_dist_km,fixed_q2_q99_total,fixed_q2_q99_exceed,fixed_q2_q99_pct,fixed_q2_q99_max_val,fixed_q2_q99_max_lat,fixed_q2_q99_max_lon,fixed_q2_q99_max_dist_km,fixed_q3_15_6_total,fixed_q3_15_6_exceed,fixed_q3_15_6_pct,fixed_q3_15_6_max_val,fixed_q3_15_6_max_lat,fixed_q3_15_6_max_lon,fixed_q3_15_6_max_dist_km,fixed_q3_20_0_total,fixed_q3_20_0_exceed,fixed_q3_20_0_pct,fixed_q3_20_0_max_val,fixed_q3_20_0_max_lat,fixed_q3_20_0_max_lon,fixed_q3_20_0_max_dist_km,fixed_q3_25_0_total,fixed_q3_25_0_exceed,fixed_q3_25_0_pct,fixed_q3_25_0_max_val,fixed_q3_25_0_max_lat,fixed_q3_25_0_max_lon,fixed_q3_25_0_max_dist_km,fixed_q3_q90_total,fixed_q3_q90_exceed,fixed_q3_q90_pct,fixed_q3_q90_max_val,fixed_q3_q90_max_lat,fixed_q3_q90_max_lon,fixed_q3_q90_max_dist_km,fixed_q3_q95_total,fixed_q3_q95_exceed,fixed_q3_q95_pct,fixed_q3_q95_max_val,fixed_q3_q95_max_lat,fixed_q3_q95_max_lon,fixed_q3_q95_max_dist_km,fixed_q3_q99_total,fixed_q3_q99_exceed,fixed_q3_q99_pct,fixed_q3_q99_max_val,fixed_q3_q99_max_lat,fixed_q3_q99_max_lon,fixed_q3_q99_max_dist_km,fixed_q4_15_6_total,fixed_q4_15_6_exceed,fixed_q4_15_6_pct,fixed_q4_15_6_max_val,fixed_q4_15_6_max_lat,fixed_q4_15_6_max_lon,fixed_q4_15_6_max_dist_km,fixed_q4_20_0_total,fixed_q4_20_0_exceed,fixed_q4_20_0_pct,fixed_q4_20_0_max_val,fixed_q4_20_0_max_lat,fixed_q4_20_0_max_lon,fixed_q4_20_0_max_dist_km,fixed_q4_25_0_total,fixed_q4_25_0_exceed,fixed_q4_25_0_pct,fixed_q4_25_0_max_val,fixed_q4_25_0_max_lat,fixed_q4_25_0_max_lon,fixed_q4_25_0_max_dist_km,fixed_q4_q90_total,fixed_q4_q90_exceed,fixed_q4_q90_pct,fixed_q4_q90_max_val,fixed_q4_q90_max_lat,fixed_q4_q90_max_lon,fixed_q4_q90_max_dist_km,fixed_q4_q95_total,fixed_q4_q95_exceed,fixed_q4_q95_pct,fixed_q4_q95_max_val,fixed_q4_q95_max_lat,fixed_q4_q95_max_lon,fixed_q4_q95_max_dist_km,fixed_q4_q99_total,fixed_q4_q99_exceed,fixed_q4_q99_pct,fixed_q4_q99_max_val,fixed_q4_q99_max_lat,fixed_q4_q99_max_lon,fixed_q4_q99_max_dist_km,rotated_q1_15_6_total,rotated_q1_15_6_exceed,rotated_q1_15_6_pct,rotated_q1_15_6_max_val,rotated_q1_15_6_max_lat,rotated_q1_15_6_max_lon,rotated_q1_15_6_max_dist_km,rotated_q1_20_0_total,rotated_q1_20_0_exceed,rotated_q1_20_0_pct,rotated_q1_20_0_max_val,rotated_q1_20_0_max_lat,rotated_q1_20_0_max_lon,rotated_q1_20_0_max_dist_km,rotated_q1_25_0_total,rotated_q1_25_0_exceed,rotated_q1_25_0_pct,rotated_q1_25_0_max_val,rotated_q1_25_0_max_lat,rotated_q1_25_0_max_lon,rotated_q1_25_0_max_dist_km,rotated_q1_q90_total,rotated_q1_q90_exceed,rotated_q1_q90_pct,rotated_q1_q90_max_val,rotated_q1_q90_max_lat,rotated_q1_q90_max_lon,rotated_q1_q90_max_dist_km,rotated_q1_q95_total,rotated_q1_q95_exceed,rotated_q1_q95_pct,rotated_q1_q95_max_val,rotated_q1_q95_max_lat,rotated_q1_q95_max_lon,rotated_q1_q95_max_dist_km,rotated_q1_q99_total,rotated_q1_q99_exceed,rotated_q1_q99_pct,rotated_q1_q99_max_val,rotated_q1_q99_max_lat,rotated_q1_q99_max_lon,rotated_q1_q99_max_dist_km,rotated_q2_15_6_total,rotated_q2_15_6_exceed,rotated_q2_15_6_pct,rotated_q2_15_6_max_val,rotated_q2_15_6_max_lat,rotated_q2_15_6_max_lon,rotated_q2_15_6_max_dist_km,rotated_q2_20_0_total,rotated_q2_20_0_exceed,rotated_q2_20_0_pct,rotated_q2_20_0_max_val,rotated_q2_20_0_max_lat,rotated_q2_20_0_max_lon,rotated_q2_20_0_max_dist_km,rotated_q2_25_0_total,rotated_q2_25_0_exceed,rotated_q2_25_0_pct,rotated_q2_25_0_max_val,rotated_q2_25_0_max_lat,rotated_q2_25_0_max_lon,rotated_q2_25_0_max_dist_km,rotated_q2_q90_total,rotated_q2_q90_exceed,rotated_q2_q90_pct,rotated_q2_q90_max_val,rotated_q2_q90_max_lat,rotated_q2_q90_max_lon,rotated_q2_q90_max_dist_km,rotated_q2_q95_total,rotated_q2_q95_exceed,rotated_q2_q95_pct,rotated_q2_q95_max_val,rotated_q2_q95_max_lat,rotated_q2_q95_max_lon,rotated_q2_q95_max_dist_km,rotated_q2_q99_total,rotated_q2_q99_exceed,rotated_q2_q99_pct,rotated_q2_q99_max_val,rotated_q2_q99_max_lat,rotated_q2_q99_max_lon,rotated_q2_q99_max_dist_km,rotated_q3_15_6_total,rotated_q3_15_6_exceed,rotated_q3_15_6_pct,rotated_q3_15_6_max_val,rotated_q3_15_6_max_lat,rotated_q3_15_6_max_lon,rotated_q3_15_6_max_dist_km,rotated_q3_20_0_total,rotated_q3_20_0_exceed,rotated_q3_20_0_pct,rotated_q3_20_0_max_val,rotated_q3_20_0_max_lat,rotated_q3_20_0_max_lon,rotated_q3_20_0_max_dist_km,rotated_q3_25_0_total,rotated_q3_25_0_exceed,rotated_q3_25_0_pct,rotated_q3_25_0_max_val,rotated_q3_25_0_max_lat,rotated_q3_25_0_max_lon,rotated_q3_25_0_max_dist_km,rotated_q3_q90_total,rotated_q3_q90_exceed,rotated_q3_q90_pct,rotated_q3_q90_max_val,rotated_q3_q90_max_lat,rotated_q3_q90_max_lon,rotated_q3_q90_max_dist_km,rotated_q3_q95_total,rotated_q3_q95_exceed,rotated_q3_q95_pct,rotated_q3_q95_max_val,rotated_q3_q95_max_lat,rotated_q3_q95_max_lon,rotated_q3_q95_max_dist_km,rotated_q3_q99_total,rotated_q3_q99_exceed,rotated_q3_q99_pct,rotated_q3_q99_max_val,rotated_q3_q99_max_lat,rotated_q3_q99_max_lon,rotated_q3_q99_max_dist_km,rotated_q4_15_6_total,rotated_q4_15_6_exceed,rotated_q4_15_6_pct,rotated_q4_15_6_max_val,rotated_q4_15_6_max_lat,rotated_q4_15_6_max_lon,rotated_q4_15_6_max_dist_km,rotated_q4_20_0_total,rotated_q4_20_0_exceed,rotated_q4_20_0_pct,rotated_q4_20_0_max_val,rotated_q4_20_0_max_lat,rotated_q4_20_0_max_lon,rotated_q4_20_0_max_dist_km,rotated_q4_25_0_total,rotated_q4_25_0_exceed,rotated_q4_25_0_pct,rotated_q4_25_0_max_val,rotated_q4_25_0_max_lat,rotated_q4_25_0_max_lon,rotated_q4_25_0_max_dist_km,rotated_q4_q90_total,rotated_q4_q90_exceed,rotated_q4_q90_pct,rotated_q4_q90_max_val,rotated_q4_q90_max_lat,rotated_q4_q90_max_lon,rotated_q4_q90_max_dist_km,rotated_q4_q95_total,rotated_q4_q95_exceed,rotated_q4_q95_pct,rotated_q4_q95_max_val,rotated_q4_q95_max_lat,rotated_q4_q95_max_lon,rotated_q4_q95_max_dist_km,rotated_q4_q99_total,rotated_q4_q99_exceed,rotated_q4_q99_pct,rotated_q4_q99_max_val,rotated_q4_q99_max_lat,rotated_q4_q99_max_lon,rotated_q4_q99_max_dist_km
2012-03-30 18:00,-37.5,-47.0,0.0,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,732,45.951035781544256,15.055808067321777,-44.25,-37.5,1094.6798149561657,1593,395,24.79598242310107,15.055808067321777,-44.25,-37.5,1094.6798149561657,1593,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,35,2.2522522522522523,12.28432559967041,-47.25,-47.25,1084.3433753783422,1554,0,0.0,,,,,1554,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,732,45.951035781544256,15.055808067321777,-44.25,-37.5,1094.6798149561657,1593,395,24.79598242310107,15.055808067321777,-44.25,-37.5,1094.6798149561657,1593,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,35,2.2522522522522523,12.28432559967041,-47.25,-47.25,1084.3433753783422,1554,0,0.0,,,,,1554,0,0.0,,,,
2012-03-31 00:00,-37.25,-47.0,38.47344804255732,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1590,0,0.0,,,,,1590,0,0.0,,,,,1590,0,0.0,,,,,1590,174,10.943396226415095,14.842079162597656,-42.75,-36.25,1099.7642637851088,1590,67,4.213836477987421,14.842079162597656,-42.75,-36.25,1099.7642637851088,1590,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1489,0,0.0,,,,,1489,0,0.0,,,,,1489,0,0.0,,,,,1489,0,0.0,,,,,1489,0,0.0,,,,,1489,0,0.0,,,,,1548,0,0.0,,,,,1548,0,0.0,,,,,1548,0,0.0,,,,,1548,128,8.2687338501292,14.842079162597656,-42.75,-36.25,1099.7642637851088,1548,64,4.1343669250646,14.842079162597656,-42.75,-36.25,1099.7642637851088,1548,0,0.0,,,,,1621,0,0.0,,,,,1621,0,0.0,,,,,1621,0,0.0,,,,,1621,46,2.83775447254781,12.710808753967285,-43.5,-37.0,1094.3253234021145,1621,3,0.1850709438618137,12.710808753967285,-43.5,-37.0,1094.3253234021145,1621,0,0.0,,,,,1549,0,0.0,,,,,1549,0,0.0,,,,,1549,0,0.0,,,,,1549,0,0.0,,,,,1549,0,0.0,,,,,1549,0,0.0,,,,
2012-03-31 06:00,-37.25,-46.75,180.0,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1513,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1553,0,0.0,,,,,1590,0,0.0,,,,,1590,0,0.0,,,,,1590,0,0.0,,,,,1590,45,2.8301886792452833,11.727598190307617,-41.0,-36.25,996.2250714209304,1590,0,0.0,,,,,1590,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1551,0,0.0,,,,,1600,0,0.0,,,,,1600,0,0.0,,,,,1600,0,0.0,,,,,1600,45,2.8125,11.727598190307617,-41.0,-36.25,996.2250714209304,1600,0,0.0,,,,,1600,0,0.0,,,,,1640,0,0.0,,,,,1640,0,0.0,,,,,1640,0,0.0,,,,,1640,0,0.0,,,,,1640,0,0.0,,,,,1640,0,0.0,,,,,1503,0,0.0,,,,,1503,0,0.0,,,,,1503,0,0.0,,,,,1503,0,0.0,,,,,1503,0,0.0,,,,,1503,0,0.0,,,,,1464,0,0.0,,,,,1464,0,0.0,,,,,1464,0,0.0,,,,,1464,0,0.0,,,,,1464,0,0.0,,,,,1464,0,0.0,,,,
2012-03-31 12:00,-37.5,-47.0,158.36292733314315,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1518,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1558,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1593,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1554,0,0.0,,,,,1575,0,0.0,,,,,1575,0,0.0,,,,,1575,0,0.0,,,,,1575,0,0.0,,,,,1575,0,0.0,,,,,1575,0,0.0,,,,,1617,0,0.0,,,,,1617,0,0.0,,,,,1617,0,0.0,,,,,1617,0,0.0,,,,,1617,0,0.0,,,,,1617,0,0.0,,,,,1531,0,0.0,,,,,1531,0,0.0,,,,,1531,0,0.0,,,,,1531,0,0.0,,,,,1531,0,0.0,,,,,1531,0,0.0,,,,,1500,0,0.0,,,,,1500,0,0.0,,,,,1500,0,0.0,,,,,1500,0,0.0,,,,,1500,0,0.0,,,,,1500,0,0.0,,,,
2012-03-31 18:00,-37.75,-46.5,141.761509957341,1524,0,0.0,,,,,1524,0,0.0,,,,,1524,0,0.0,,,,,1524,0,0.0,,,,,1524,0,0.0,,,,,1524,0,0.0,,,,,1564,0,0.0,,,,,1564,0,0.0,,,,,1564,0,0.0,,,,,1564,0,0.0,,,,,1564,0,0.0,,,,,1564,0,0.0,,,,,1604,0,0.0,,,,,1604,0,0.0,,,,,1604,0,0.0,,,,,1604,46,2.8678304239401498,11.096336364746094,-47.5,-46.5,1084.1505347844477,1604,0,0.0,,,,,1604,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,265,16.93290734824281,12.31912612915039,-44.75,-55.75,1095.8228012164411,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1565,0,0.0,,,,,1633,0,0.0,,,,,1633,0,0.0,,,,,1633,0,0.0,,,,,1633,272,16.656460502143293,12.31912612915039,-44.75,-55.75,1095.8228012164411,1633,0,0.0,,,,,1633,0,0.0,,,,,1561,0,0.0,,,,,1561,0,0.0,,,,,1561,0,0.0,,,,,1561,39,2.498398462524023,12.044824600219727,-43.75,-56.75,1089.7629993498454,1561,0,0.0,,,,,1561,0,0.0,,,,,1498,0,0.0,,,,,1498,0,0.0,,,,,1498,0,0.0,,,,,1498,0,0.0,,,,,1498,0,0.0,,,,,1498,0,0.0,,,,
2012-04-01 00:00,-38.5,-46.0,126.04116106190065,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1576,0,0.0,,,,,1576,0,0.0,,,,,1576,0,0.0,,,,,1576,0,0.0,,,,,1576,0,0.0,,,,,1576,0,0.0,,,,,1617,0,0.0,,,,,1617,0,0.0,,,,,1617,0,0.0,,,,,1617,232,14.347557204700061,12.757051467895508,-47.5,-45.5,1001.5739144940734,1617,28,1.7316017316017316,12.757051467895508,-47.5,-45.5,1001.5739144940734,1617,0,0.0,,,,,1578,0,0.0,,,,,1578,0,0.0,,,,,1578,0,0.0,,,,,1578,578,36.628643852978456,13.763056755065918,-47.5,-50.0,1051.9112452429304,1578,304,19.26489226869455,13.763056755065918,-47.5,-50.0,1051.9112452429304,1578,0,0.0,,,,,1563,0,0.0,,,,,1563,0,0.0,,,,,1563,0,0.0,,,,,1563,0,0.0,,,,,1563,0,0.0,,,,,1563,0,0.0,,,,,1648,0,0.0,,,,,1648,0,0.0,,,,,1648,0,0.0,,,,,1648,596,36.16504854368932,13.763056755065918,-47.5,-50.0,1051.9112452429304,1648,278,16.868932038834952,13.763056755065918,-47.5,-50.0,1051.9112452429304,1648,0,0.0,,,,,1584,0,0.0,,,,,1584,0,0.0,,,,,1584,0,0.0,,,,,1584,214,13.51010101010101,13.100396156311035,-45.75,-53.25,1002.7666553634167,1584,54,3.4090909090909087,13.100396156311035,-45.75,-53.25,1002.7666553634167,1584,0,0.0,,,,,1512,0,0.0,,,,,1512,0,0.0,,,,,1512,0,0.0,,,,,1512,0,0.0,,,,,1512,0,0.0,,,,,1512,0,0.0,,,,
2012-04-01 06:00,-38.75,-44.75,84.39604076262691,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,0,0.0,,,,,1579,0,0.0,,,,,1579,0,0.0,,,,,1579,0,0.0,,,,,1579,6,0.37998733375554145,11.186098098754883,-31.5,-38.75,972.9256971423533,1579,0,0.0,,,,,1579,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,700,43.103448275862064,15.442687034606934,-48.0,-44.75,1028.5530714621684,1624,368,22.660098522167488,15.442687034606934,-48.0,-44.75,1028.5530714621684,1624,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,516,32.555205047318616,15.43838119506836,-48.0,-45.0,1028.7499420111858,1585,313,19.74763406940063,15.43838119506836,-48.0,-45.0,1028.7499420111858,1585,0,0.0,,,,,1530,0,0.0,,,,,1530,0,0.0,,,,,1530,0,0.0,,,,,1530,6,0.39215686274509803,11.186098098754883,-31.5,-38.75,972.9256971423533,1530,0,0.0,,,,,1530,0,0.0,,,,,1625,0,0.0,,,,,1625,0,0.0,,,,,1625,0,0.0,,,,,1625,612,37.66153846153846,15.147944450378418,-48.0,-43.5,1033.463495741042,1625,299,18.4,15.147944450378418,-48.0,-43.5,1033.463495741042,1625,0,0.0,,,,,1636,0,0.0,,,,,1636,0,0.0,,,,,1636,0,0.0,,,,,1636,604,36.91931540342298,15.442687034606934,-48.0,-44.75,1028.5530714621684,1636,382,23.34963325183374,15.442687034606934,-48.0,-44.75,1028.5530714621684,1636,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,,1536,0,0.0,,,,
2012-04-01 12:00,-38.25,-42.75,90.0,1533,0,0.0,,,,,1533,0,0.0,,,,,1533,0,0.0,,,,,1533,0,0.0,,,,,1533,0,0.0,,,,,1533,0,0.0,,,,,1573,0,0.0,,,,,1573,0,0.0,,,,,1573,0,0.0,,,,,1573,337,21.424030514939606,15.068517684936523,-31.25,-35.25,1036.2114344831848,1573,91,5.785123966942149,15.068517684936523,-31.25,-35.25,1036.2114344831848,1573,0,0.0,,,,,1611,26,1.6139044072004967,15.918574333190918,-47.5,-38.0,1098.4237418593996,1611,0,0.0,,,,,1611,0,0.0,,,,,1611,651,40.4096834264432,15.918574333190918,-47.5,-38.0,1098.4237418593996,1611,472,29.298572315332095,15.918574333190918,-47.5,-38.0,1098.4237418593996,1611,30,1.86219739292365,15.918574333190918,-47.5,-38.0,1098.4237418593996,1572,0,0.0,,,,,1572,0,0.0,,,,,1572,0,0.0,,,,,1572,157,9.987277353689567,14.471306800842285,-48.0,-43.0,1084.338703004848,1572,46,2.926208651399491,14.471306800842285,-48.0,-43.0,1084.338703004848,1572,0,0.0,,,,,1522,0,0.0,,,,,1522,0,0.0,,,,,1522,0,0.0,,,,,1522,337,22.1419185282523,15.068517684936523,-31.25,-35.25,1036.2114344831848,1522,91,5.978975032851511,15.068517684936523,-31.25,-35.25,1036.2114344831848,1522,0,0.0,,,,,1662,26,1.5643802647412757,15.918574333190918,-47.5,-38.0,1098.4237418593996,1662,0,0.0,,,,,1662,0,0.0,,,,,1662,651,39.16967509025271,15.918574333190918,-47.5,-38.0,1098.4237418593996,1662,472,28.399518652226234,15.918574333190918,-47.5,-38.0,1098.4237418593996,1662,30,1.8050541516245486,15.918574333190918,-47.5,-38.0,1098.4237418593996,1622,0,0.0,,,,,1622,0,0.0,,,,,1622,0,0.0,,,,,1622,157,9.67940813810111,14.471306800842285,-48.0,-43.0,1084.338703004848,1622,46,2.8360049321824907,14.471306800842285,-48.0,-43.0,1084.338703004848,1622,0,0.0,,,,,1483,0,0.0,,,,,1483,0,0.0,,,,,1483,0,0.0,,,,,1483,0,0.0,,,,,1483,0,0.0,,,,,1483,0,0.0,,,,
2012-04-01 18:00,-38.75,-40.75,103.07913247504206,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,3,0.1949317738791423,11.037527084350586,-29.5,-41.25,1029.5769572878557,1539,0,0.0,,,,,1539,0,0.0,,,,,1579,5,0.31665611146295125,15.9042329788208,-33.0,-36.75,733.7490163774031,1579,0,0.0,,,,,1579,0,0.0,,,,,1579,385,24.382520582647246,15.9042329788208,-33.0,-36.75,733.7490163774031,1579,167,10.57631412286257,15.9042329788208,-33.0,-36.75,733.7490163774031,1579,5,0.31665611146295125,15.9042329788208,-33.0,-36.75,733.7490163774031,1624,51,3.140394088669951,17.658681869506836,-48.0,-36.0,1097.312545593282,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,693,42.672413793103445,17.658681869506836,-48.0,-36.0,1097.312545593282,1624,422,25.985221674876847,17.658681869506836,-48.0,-36.0,1097.312545593282,1624,53,3.263546798029557,17.658681869506836,-48.0,-36.0,1097.312545593282,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,55,3.4700315457413247,13.979132652282715,-48.5,-41.0,1084.335583421956,1585,19,1.1987381703470033,13.979132652282715,-48.5,-41.0,1084.335583421956,1585,0,0.0,,,,,1541,5,0.32446463335496434,15.9042329788208,-33.0,-36.75,733.7490163774031,1541,0,0.0,,,,,1541,0,0.0,,,,,1541,321,20.830629461388707,15.9042329788208,-33.0,-36.75,733.7490163774031,1541,152,9.863724853990915,15.9042329788208,-33.0,-36.75,733.7490163774031,1541,5,0.32446463335496434,15.9042329788208,-33.0,-36.75,733.7490163774031,1644,51,3.102189781021898,17.658681869506836,-48.0,-36.0,1097.312545593282,1644,0,0.0,,,,,1644,0,0.0,,,,,1644,748,45.49878345498784,17.658681869506836,-48.0,-36.0,1097.312545593282,1644,441,26.824817518248175,17.658681869506836,-48.0,-36.0,1097.312545593282,1644,53,3.223844282238443,17.658681869506836,-48.0,-36.0,1097.312545593282,1616,0,0.0,,,,,1616,0,0.0,,,,,1616,0,0.0,,,,,1616,0,0.0,,,,,1616,0,0.0,,,,,1616,0,0.0,,,,,1526,0,0.0,,,,,1526,0,0.0,,,,,1526,0,0.0,,,,,1526,67,4.3905635648754915,13.71682357788086,-32.75,-39.25,680.7316423877716,1526,15,0.9829619921363041,13.71682357788086,-32.75,-39.25,680.7316423877716,1526,0,0.0,,,,
2012-04-02 00:00,-38.75,-40.0,270.0,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,53,3.443794671864847,13.01645278930664,-32.5,-40.25,695.3346121762073,1539,3,0.1949317738791423,13.01645278930664,-32.5,-40.25,695.3346121762073,1539,0,0.0,,,,,1579,12,0.7599746675110829,16.2882137298584,-34.5,-38.0,505.11950905976084,1579,0,0.0,,,,,1579,0,0.0,,,,,1579,547,34.64217859404686,16.2882137298584,-34.5,-38.0,505.11950905976084,1579,134,8.486383787207092,16.2882137298584,-34.5,-38.0,505.11950905976084,1579,12,0.7599746675110829,16.2882137298584,-34.5,-38.0,505.11950905976084,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,325,20.01231527093596,15.535728454589844,-47.0,-32.75,1090.0440543847094,1624,133,8.189655172413794,15.535728454589844,-47.0,-32.75,1090.0440543847094,1624,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1624,0,0.0,,,,,1579,0,0.0,,,,,1579,0,0.0,,,,,1579,0,0.0,,,,,1579,77,4.876504116529449,13.967249870300293,-32.75,-40.0,667.1695598673524,1579,12,0.7599746675110829,13.967249870300293,-32.75,-40.0,667.1695598673524,1579,0,0.0,,,,,1539,12,0.7797270955165692,16.2882137298584,-34.5,-38.0,505.11950905976084,1539,0,0.0,,,,,1539,0,0.0,,,,,1539,523,33.98310591293047,16.2882137298584,-34.5,-38.0,505.11950905976084,1539,125,8.122157244964262,16.2882137298584,-34.5,-38.0,505.11950905976084,1539,12,0.7797270955165692,16.2882137298584,-34.5,-38.0,505.11950905976084,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,0,0.0,,,,,1585,325,20.50473186119874,15.535728454589844,-47.0,-32.75,1090.0440543847094,1585,133,8.391167192429021,15.535728454589844,-47.0,-32.75,1090.0440543847094,1585,0,0.0,,,,
