phase,nivel,taxa_contagem_media,taxa_acumulada_media,limiar_wind_speed,n_ciclones
incipient,q90,0.043478260869565216,0.7474516231884057,16.1857555,3
intensification,q90,0.0775711819246302,1.1168835766570782,13.660129800000002,20
mature,q90,0.12698412698412698,1.8095454290382822,12.981049200000003,17
decay,q90,0.10747684894988992,1.696979831709709,13.766259,29
incipient,q95,0.021739130434782608,0.3871978478260869,16.99675,3
intensification,q95,0.023696949602122017,0.3727849626160477,14.4104835,20
mature,q95,0.07492997198879552,1.0934386575630253,14.0080385,17
decay,q95,0.0576142640001217,0.9778016275088454,15.027188399999996,29
incipient,q99,0.007246376811594203,0.1320871376811594,18.09543265,3
intensification,q99,0.0046087533156498675,0.08064409946949601,16.53218113999999,20
mature,q99,0.014939309056956115,0.23080145284780576,15.382888119999999,17
decay,q99,0.013171217194205699,0.2555434077051189,17.629768239999994,29
